GHCND:US10adam045,"HASTINGS 1.8 N, NE US",2016-09-16,2010-08-01
GHCND:US10adam046,"HASTINGS 3.3 SW, NE US",2018-09-09,2010-09-01
GHCND:US10adam047,"HASTINGS 2.1 W, NE US",2013-12-19,2011-01-01
GHCND:US10adam051,"ROSELAND 3.9 SSE, NE US",2018-09-18,2011-07-01
GHCND:US10adam056,"HASTINGS 1.0 ESE, NE US",2018-09-18,2014-05-01
GHCND:US10adam057,"PROSSER 2.2 SE, NE US",2018-09-05,2014-08-23
GHCND:US10ante003,"ORCHARD 0.2 ENE, NE US",2015-08-20,2009-08-01
GHCND:US10arth002,"PAXTON 18.9 N, NE US",2009-05-11,2005-08-01
GHCND:US10bann001,"HARRISBURG 9.5 NE, NE US",2007-01-31,2004-06-01
GHCND:US10bann005,"HARRISBURG 12.4 WNW, NE US",2016-07-30,2006-05-01
GHCND:US10bann006,"HARRISBURG 0.2 NW, NE US",2010-10-10,2007-10-01
GHCND:US10bann007,"SCOTTSBLUFF 25.5 SSW, NE US",2018-05-18,2007-05-01
GHCND:US10bann008,"HARRISBURG 6.2 NE, NE US",2010-05-07,2008-04-01
GHCND:US10bann009,"GERING 10.1 S, NE US",2018-07-26,2010-06-01
GHCND:US10blai001,"DUNNING 9.4 ENE, NE US",2008-05-29,2004-05-01
GHCND:US10blai003,"DUNNING 8.2 WSW, NE US",2005-09-26,2004-06-01
GHCND:US10blai004,"HALSEY 0.2 ENE, NE US",2018-09-18,2004-08-01
GHCND:US10blai005,"PURDUM 7.5 ESE, NE US",2007-05-04,2004-08-01
GHCND:US10blai006,"DUNNING 16.9 N, NE US",2006-06-14,2004-11-01
GHCND:US10blai008,"DUNNING 6.4 WSW, NE US",2009-09-24,2005-06-01
GHCND:US10blai010,"BREWSTER 6.4 E, NE US",2009-10-31,2006-09-01
GHCND:US10blai011,"DUNNING 5.3 NW, NE US",2010-10-31,2009-08-01
GHCND:US10blai012,"DUNNING 0.6 SSW, NE US",2016-03-22,2013-09-01
